week_ending,warehouse_id,region,orders_received,orders_fulfilled,order_fill_rate_pct,on_time_delivery_pct,avg_lead_time_days,stockout_incidents,inventory_accuracy_pct,putaway_time_hours,picking_accuracy_pct,dock_to_stock_hours
2025-09-24,WH-008,Quebec,239,271,96.64,93.39,3.6,1,96.73,6.7,97.92,20.1
2025-09-24,WH-009,Quebec,325,478,92.11,90.45,3.7,2,98.0,3.6,99.32,13.2
2025-09-24,WH-010,West,295,362,95.88,96.78,3.2,5,99.72,5.4,99.47,20.1
2025-09-24,WH-011,West,646,485,93.7,95.46,4.7,0,96.37,3.6,99.31,13.0
2025-09-24,WH-012,West,379,782,99.22,88.76,4.4,5,99.01,2.3,98.2,5.3
2025-09-24,WH-013,West,264,653,93.6,92.81,4.6,5,96.7,4.4,99.4,8.2
2025-10-01,WH-001,Atlantic,570,472,96.76,91.85,3.0,0,96.5,6.0,97.18,19.2
2025-10-01,WH-002,Atlantic,621,638,96.06,94.64,3.9,3,97.02,6.0,97.22,16.0
2025-10-01,WH-003,Atlantic,377,708,98.17,92.62,4.6,0,99.48,6.1,99.4,23.6
2025-10-01,WH-004,Ontario,468,363,94.55,95.34,2.7,5,99.76,4.6,99.41,14.7
2025-10-01,WH-005,Ontario,202,697,98.48,95.25,3.9,4,96.33,6.6,99.27,24.0
2025-10-01,WH-006,Ontario,541,257,94.13,94.4,2.4,2,99.02,4.8,97.79,5.8
2025-10-01,WH-007,Quebec,583,736,98.52,90.86,4.6,1,98.61,2.3,98.0,22.7
2025-10-01,WH-008,Quebec,559,272,97.77,91.76,2.0,3,98.41,6.0,98.87,6.2
2025-10-01,WH-009,Quebec,557,642,96.68,95.04,2.3,3,96.61,3.4,97.0,6.4
2025-10-01,WH-010,West,433,437,96.01,91.41,2.5,1,98.13,6.1,97.74,4.3
2025-10-01,WH-011,West,415,298,96.38,89.48,3.5,0,99.73,5.4,97.7,21.6
2025-10-01,WH-012,West,227,225,94.57,89.7,2.3,2,98.47,6.6,97.61,7.7
2025-10-01,WH-013,West,345,217,96.67,95.92,4.6,5,97.42,6.3,99.05,22.8
2025-10-08,WH-001,Atlantic,351,698,97.44,91.44,2.6,3,97.45,6.8,99.13,12.9
2025-10-08,WH-002,Atlantic,434,435,97.19,95.51,3.6,2,96.81,2.2,98.98,5.6
2025-10-08,WH-003,Atlantic,655,729,96.05,92.58,3.0,1,99.06,5.2,99.48,17.6
2025-10-08,WH-004,Ontario,721,431,96.24,92.34,3.6,4,96.77,6.1,97.21,16.1
2025-10-08,WH-005,Ontario,735,475,95.24,91.25,2.9,5,98.7,2.1,98.31,9.8
2025-10-08,WH-006,Ontario,527,577,98.52,89.42,3.7,0,99.49,7.5,98.3,22.8
2025-10-08,WH-007,Quebec,565,717,98.05,92.57,3.1,2,96.21,5.5,99.52,17.3
2025-10-08,WH-008,Quebec,329,226,92.26,91.07,2.4,4,99.55,7.3,99.84,8.2
2025-10-08,WH-009,Quebec,465,686,92.16,91.59,2.4,3,96.74,3.0,97.43,16.6
2025-10-08,WH-010,West,475,200,93.92,96.06,3.9,1,98.48,5.4,97.23,14.8
2025-10-08,WH-011,West,323,260,96.68,94.05,2.1,1,98.95,4.9,97.52,17.6
2025-10-08,WH-012,West,458,317,96.87,94.61,4.6,0,99.82,6.7,98.14,17.2
2025-10-08,WH-013,West,229,658,94.06,88.6,3.9,1,97.35,4.7,98.22,6.7
2025-10-15,WH-001,Atlantic,453,299,97.26,88.22,4.8,1,96.04,2.0,99.14,5.6
2025-10-15,WH-002,Atlantic,292,529,98.49,89.99,2.1,4,99.65,2.4,99.77,9.9
2025-10-15,WH-003,Atlantic,586,464,98.06,91.45,2.2,0,98.14,2.1,97.86,15.1
2025-10-15,WH-004,Ontario,702,332,96.98,88.87,2.2,2,97.49,6.4,99.86,13.5
2025-10-15,WH-005,Ontario,602,241,92.29,88.43,3.0,5,96.92,7.4,98.53,21.7
2025-10-15,WH-006,Ontario,756,298,93.23,90.3,1.6,3,96.63,5.6,98.46,9.1
2025-10-15,WH-007,Quebec,745,238,96.65,96.5,4.0,5,96.37,2.4,98.0,11.8
2025-10-15,WH-008,Quebec,638,513,95.49,95.83,3.4,2,97.77,4.2,98.72,21.7
2025-10-15,WH-009,Quebec,672,516,98.04,90.02,3.7,5,99.59,6.6,99.7,23.5
2025-10-15,WH-010,West,797,783,98.25,88.19,4.4,1,98.89,7.6,98.53,14.8
2025-10-15,WH-011,West,422,240,98.4,90.83,3.4,2,97.23,3.3,97.77,8.2
2025-10-15,WH-012,West,378,212,93.98,95.36,4.3,0,96.01,2.9,99.76,13.4
2025-10-15,WH-013,West,407,608,94.53,92.02,4.3,5,96.35,4.5,98.53,10.8
2025-10-22,WH-001,Atlantic,344,377,92.78,95.68,1.7,2,97.98,2.5,99.32,7.5
2025-10-22,WH-002,Atlantic,454,217,94.91,90.03,3.4,0,99.05,6.5,97.75,22.7
2025-10-22,WH-003,Atlantic,213,735,98.32,93.74,4.6,4,98.78,7.3,97.23,7.3
2025-10-22,WH-004,Ontario,511,414,94.76,88.19,1.7,2,98.66,6.7,99.68,6.5
2025-10-22,WH-005,Ontario,614,675,92.75,92.01,1.9,4,98.07,2.6,99.85,17.2
2025-10-22,WH-006,Ontario,639,417,95.4,91.74,4.7,1,96.33,2.9,98.21,8.0
2025-10-22,WH-007,Quebec,212,641,96.9,89.03,4.2,3,98.08,5.2,98.26,12.4
2025-10-22,WH-008,Quebec,497,667,97.54,90.76,4.6,2,99.41,7.0,98.24,15.4
2025-10-22,WH-009,Quebec,390,514,93.44,92.2,2.1,3,97.73,4.3,98.69,15.4
2025-10-22,WH-010,West,426,764,97.21,94.46,2.8,3,98.44,4.3,97.65,7.2
2025-10-22,WH-011,West,691,223,97.01,90.24,1.8,5,98.83,7.3,98.02,16.9
2025-10-22,WH-012,West,278,516,92.46,91.96,3.8,0,98.42,7.7,99.11,16.6
2025-10-22,WH-013,West,514,654,93.67,90.01,4.7,1,97.31,5.5,97.22,5.8
2025-10-29,WH-001,Atlantic,552,421,96.79,93.78,2.3,4,99.02,2.5,97.36,19.1
2025-10-29,WH-002,Atlantic,217,625,97.13,93.22,2.1,5,98.98,2.5,99.09,18.6
2025-10-29,WH-003,Atlantic,397,215,94.98,93.95,4.9,4,98.09,4.1,97.24,14.4
2025-10-29,WH-004,Ontario,781,384,93.97,89.8,2.9,2,97.7,2.4,99.89,14.4
2025-10-29,WH-005,Ontario,454,468,95.32,93.66,3.2,2,99.52,3.6,99.04,13.3
2025-10-29,WH-006,Ontario,702,462,93.08,95.21,2.3,4,97.59,5.0,97.38,16.8
2025-10-29,WH-007,Quebec,509,683,93.05,92.75,3.2,4,98.81,5.8,98.69,10.7
2025-10-29,WH-008,Quebec,241,731,95.15,89.52,2.6,2,98.05,2.9,97.41,13.5
2025-10-29,WH-009,Quebec,391,509,93.54,88.92,3.3,1,98.61,7.7,98.63,13.3
2025-10-29,WH-010,West,207,459,99.37,90.01,4.3,4,97.73,7.2,97.73,22.4
2025-10-29,WH-011,West,386,317,95.51,91.07,2.6,4,97.56,6.8,99.73,6.3
2025-10-29,WH-012,West,579,263,96.45,88.6,3.1,1,97.45,5.9,98.82,9.9
2025-10-29,WH-013,West,534,194,93.95,92.09,3.7,2,99.14,4.6,98.98,18.2
2025-11-05,WH-001,Atlantic,629,514,99.16,92.36,3.4,4,97.16,3.4,98.93,6.4
2025-11-05,WH-002,Atlantic,748,419,95.42,88.42,2.2,4,97.12,3.1,99.66,19.6
2025-11-05,WH-003,Atlantic,493,745,98.9,91.26,3.4,3,99.4,6.0,99.55,20.1
2025-11-05,WH-004,Ontario,561,488,94.32,92.38,2.9,2,96.38,5.9,98.68,6.2
2025-11-05,WH-005,Ontario,673,413,96.91,90.64,3.5,5,98.65,2.5,97.49,15.5
2025-11-05,WH-006,Ontario,520,718,98.15,90.12,2.4,4,99.83,6.3,98.96,6.7
2025-11-05,WH-007,Quebec,653,669,95.56,89.22,3.9,2,97.5,5.0,97.98,20.6
2025-11-05,WH-008,Quebec,298,637,96.51,95.5,2.5,3,98.22,7.7,97.04,14.5
2025-11-05,WH-009,Quebec,750,351,96.93,88.26,2.1,5,96.17,4.4,99.4,16.1
2025-11-05,WH-010,West,502,227,97.73,90.93,2.0,4,96.96,4.5,97.93,20.4
2025-11-05,WH-011,West,332,713,96.8,93.0,1.5,1,96.93,7.3,97.93,7.6
2025-11-05,WH-012,West,767,197,95.11,96.89,2.8,4,96.1,7.2,99.5,19.4
2025-11-05,WH-013,West,453,191,95.84,88.06,1.5,1,97.78,2.9,99.82,21.3
2025-11-12,WH-001,Atlantic,358,245,97.52,93.67,4.7,1,96.04,2.4,99.86,14.8
2025-11-12,WH-002,Atlantic,374,365,98.75,91.82,2.2,5,98.3,4.3,98.88,7.3
2025-11-12,WH-003,Atlantic,269,750,94.75,88.62,5.0,0,97.74,7.0,98.97,6.5
2025-11-12,WH-004,Ontario,370,502,97.5,93.58,4.5,1,98.58,4.5,97.96,19.4
2025-11-12,WH-005,Ontario,599,379,93.78,93.25,3.5,5,99.2,4.9,98.9,16.3
2025-11-12,WH-006,Ontario,344,411,94.63,88.8,4.8,2,97.42,5.1,98.01,20.9
2025-11-12,WH-007,Quebec,426,435,93.11,92.64,2.9,1,98.53,6.9,97.28,12.7
2025-11-12,WH-008,Quebec,528,744,96.97,88.24,3.2,1,96.07,5.8,98.7,5.7
2025-11-12,WH-009,Quebec,258,490,97.4,93.41,1.7,3,98.21,5.8,97.45,4.8
2025-11-12,WH-010,West,720,284,95.48,95.03,2.5,2,99.6,2.5,97.21,23.0
2025-11-12,WH-011,West,365,719,99.19,92.26,2.5,4,97.17,6.4,97.78,9.1
2025-11-12,WH-012,West,378,619,98.31,93.19,2.1,4,99.78,4.1,98.57,4.4
2025-11-12,WH-013,West,221,253,98.64,93.91,3.5,5,96.09,4.7,97.06,15.4
