transaction_id,date,warehouse_id,region,sku,product_name,category,transaction_type,quantity,customer_id,reference,unit_cost_cad,total_value_cad
TXN-0000098,2025-08-21,WH-009,Quebec,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Adjustment,7,,ADJ-23566,6.80,47.60
TXN-0000099,2025-08-21,WH-013,West,SKU-1010,Hand Soap - Lavender,Personal Care,Adjustment,-40,,ADJ-76132,8.25,330.00
TXN-0000100,2025-08-21,WH-011,West,SKU-1005,Sparkling Water - Lemon,Beverages,Inbound,2293,,PO-67595,5.50,12611.50
TXN-0000101,2025-08-21,WH-009,Quebec,SKU-1016,Dish Soap - Citrus,Household Cleaning,Outbound,-845,,SO-47079,6.25,5281.25
TXN-0000102,2025-08-21,WH-007,Quebec,SKU-1013,Toothpaste - Whitening,Personal Care,Outbound,-1490,C010,SO-16863,6.50,9685.00
TXN-0000103,2025-08-21,WH-013,West,SKU-1020,Vitamin C Gummies,Health & Wellness,Outbound,-234,,SO-22387,8.75,2047.50
TXN-0000104,2025-08-21,WH-009,Quebec,SKU-1021,Protein Bars - Chocolate,Health & Wellness,Outbound,-616,C010,SO-29709,12.50,7700.00
TXN-0000105,2025-08-21,WH-006,Ontario,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Outbound,-389,C006,SO-50662,3.75,1458.75
TXN-0000106,2025-08-21,WH-011,West,SKU-1022,Probiotics Daily,Health & Wellness,Outbound,-364,C010,SO-21104,22.50,8190.00
TXN-0000107,2025-08-21,WH-005,Ontario,SKU-1017,Laundry Detergent Pods,Household Cleaning,Outbound,-772,C003,SO-97833,18.50,14282.00
TXN-0000108,2025-08-21,WH-012,West,SKU-1023,Fiber Supplement Powder,Health & Wellness,Adjustment,17,,ADJ-22249,16.75,284.75
TXN-0000109,2025-08-21,WH-011,West,SKU-1021,Protein Bars - Chocolate,Health & Wellness,Outbound,-841,C001,SO-57526,12.50,10512.50
TXN-0000110,2025-08-21,WH-005,Ontario,SKU-1005,Sparkling Water - Lemon,Beverages,Adjustment,-7,,ADJ-73736,5.50,38.50
TXN-0000111,2025-08-21,WH-004,Ontario,SKU-1007,Energy Drink - Arctic Blast,Beverages,Adjustment,-31,,ADJ-20114,8.75,271.25
TXN-0000112,2025-08-21,WH-005,Ontario,SKU-1003,Chocolate Wafer Cookies,Snacks & Confectionery,Outbound,-1205,C009,SO-14947,4.20,5061.00
TXN-0000113,2025-08-21,WH-011,West,SKU-1010,Hand Soap - Lavender,Personal Care,Transfer,167,,TR-30218,8.25,1377.75
TXN-0000114,2025-08-21,WH-003,Atlantic,SKU-1005,Sparkling Water - Lemon,Beverages,Transfer,-106,,TR-67366,5.50,583.00
TXN-0000115,2025-08-21,WH-001,Atlantic,SKU-1013,Toothpaste - Whitening,Personal Care,Outbound,-586,C008,SO-90031,6.50,3809.00
TXN-0000116,2025-08-21,WH-005,Ontario,SKU-1024,Multivitamin Adult,Health & Wellness,Outbound,-1019,C004,SO-79993,14.25,14520.75
TXN-0000117,2025-08-21,WH-004,Ontario,SKU-1009,Cold Brew Coffee RTD,Beverages,Adjustment,50,,ADJ-71474,7.50,375.00
TXN-0000118,2025-08-21,WH-004,Ontario,SKU-1011,Body Lotion - Unscented,Personal Care,Outbound,-1268,C008,SO-70513,12.50,15850.00
TXN-0000119,2025-08-21,WH-013,West,SKU-1009,Cold Brew Coffee RTD,Beverages,Outbound,-1129,C009,SO-64874,7.50,8467.50
TXN-0000120,2025-08-21,WH-003,Atlantic,SKU-1006,Iced Tea - Peach,Beverages,Transfer,-430,,TR-94040,4.25,1827.50
TXN-0000121,2025-08-21,WH-008,Quebec,SKU-1011,Body Lotion - Unscented,Personal Care,Outbound,-310,C009,SO-26341,12.50,3875.00
TXN-0000122,2025-08-21,WH-005,Ontario,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Outbound,-658,C008,SO-77286,3.75,2467.50
TXN-0000123,2025-08-21,WH-003,Atlantic,SKU-1013,Toothpaste - Whitening,Personal Care,Inbound,1409,,PO-69130,6.50,9158.50
TXN-0000124,2025-08-21,WH-006,Ontario,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,Outbound,-911,C009,SO-59015,4.50,4099.50
TXN-0000125,2025-08-21,WH-004,Ontario,SKU-1012,Shampoo - Moisturizing,Personal Care,Adjustment,-3,,ADJ-39430,15.75,47.25
TXN-0000126,2025-08-21,WH-001,Atlantic,SKU-1010,Hand Soap - Lavender,Personal Care,Transfer,432,,TR-29142,8.25,3564.00
TXN-0000127,2025-08-21,WH-003,Atlantic,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,Inbound,2435,,PO-28191,5.25,12783.75
TXN-0000128,2025-08-21,WH-013,West,SKU-1022,Probiotics Daily,Health & Wellness,Outbound,-1360,C001,SO-20384,22.50,30600.00
TXN-0000129,2025-08-21,WH-001,Atlantic,SKU-1008,Coconut Water Organic,Beverages,Inbound,1112,,PO-81932,9.25,10286.00
TXN-0000130,2025-08-21,WH-012,West,SKU-1019,Disinfecting Wipes,Household Cleaning,Outbound,-327,C005,SO-41147,11.25,3678.75
TXN-0000131,2025-08-21,WH-005,Ontario,SKU-1003,Chocolate Wafer Cookies,Snacks & Confectionery,Inbound,2219,,PO-93748,4.20,9319.80
TXN-0000132,2025-08-21,WH-013,West,SKU-1019,Disinfecting Wipes,Household Cleaning,Outbound,-327,C008,SO-88215,11.25,3678.75
TXN-0000133,2025-08-21,WH-009,Quebec,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,Outbound,-1277,C004,SO-28818,4.50,5746.50
TXN-0000134,2025-08-21,WH-005,Ontario,SKU-1013,Toothpaste - Whitening,Personal Care,Inbound,1945,,PO-41531,6.50,12642.50
TXN-0000135,2025-08-21,WH-010,West,SKU-1013,Toothpaste - Whitening,Personal Care,Inbound,850,,PO-78614,6.50,5525.00
TXN-0000136,2025-08-21,WH-006,Ontario,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Adjustment,19,,ADJ-76496,3.75,71.25
TXN-0000137,2025-08-21,WH-013,West,SKU-1016,Dish Soap - Citrus,Household Cleaning,Outbound,-899,C008,SO-15706,6.25,5618.75
TXN-0000138,2025-08-21,WH-011,West,SKU-1012,Shampoo - Moisturizing,Personal Care,Adjustment,-18,,ADJ-12128,15.75,283.50
TXN-0000139,2025-08-21,WH-006,Ontario,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Outbound,-1445,C002,SO-86271,3.75,5418.75
TXN-0000140,2025-08-21,WH-012,West,SKU-1024,Multivitamin Adult,Health & Wellness,Outbound,-190,,SO-81567,14.25,2707.50
TXN-0000141,2025-08-21,WH-006,Ontario,SKU-1020,Vitamin C Gummies,Health & Wellness,Inbound,2403,,PO-72722,8.75,21026.25
TXN-0000142,2025-08-21,WH-011,West,SKU-1005,Sparkling Water - Lemon,Beverages,Transfer,466,,TR-14847,5.50,2563.00
TXN-0000143,2025-08-21,WH-005,Ontario,SKU-1006,Iced Tea - Peach,Beverages,Inbound,1317,,PO-15492,4.25,5597.25
TXN-0000144,2025-08-21,WH-006,Ontario,SKU-1009,Cold Brew Coffee RTD,Beverages,Outbound,-1212,C008,SO-43202,7.50,9090.00
TXN-0000145,2025-08-21,WH-001,Atlantic,SKU-1024,Multivitamin Adult,Health & Wellness,Outbound,-685,C006,SO-16265,14.25,9761.25
TXN-0000146,2025-08-21,WH-011,West,SKU-1010,Hand Soap - Lavender,Personal Care,Inbound,2007,,PO-67272,8.25,16557.75
TXN-0000147,2025-08-21,WH-007,Quebec,SKU-1023,Fiber Supplement Powder,Health & Wellness,Outbound,-891,,SO-34486,16.75,14924.25
TXN-0000148,2025-08-21,WH-008,Quebec,SKU-1022,Probiotics Daily,Health & Wellness,Outbound,-1163,C005,SO-20828,22.50,26167.50
TXN-0000149,2025-08-21,WH-012,West,SKU-1013,Toothpaste - Whitening,Personal Care,Inbound,2967,,PO-33652,6.50,19285.50
TXN-0000150,2025-08-21,WH-009,Quebec,SKU-1009,Cold Brew Coffee RTD,Beverages,Outbound,-263,,SO-96628,7.50,1972.50
TXN-0000151,2025-08-21,WH-005,Ontario,SKU-1009,Cold Brew Coffee RTD,Beverages,Outbound,-972,C003,SO-68183,7.50,7290.00
TXN-0000152,2025-08-22,WH-008,Quebec,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,Outbound,-822,C010,SO-67008,5.25,4315.50
TXN-0000153,2025-08-22,WH-005,Ontario,SKU-1020,Vitamin C Gummies,Health & Wellness,Adjustment,-43,,ADJ-19835,8.75,376.25
TXN-0000154,2025-08-22,WH-011,West,SKU-1020,Vitamin C Gummies,Health & Wellness,Outbound,-1150,C003,SO-14081,8.75,10062.50
TXN-0000155,2025-08-22,WH-003,Atlantic,SKU-1019,Disinfecting Wipes,Household Cleaning,Outbound,-997,C001,SO-26545,11.25,11216.25
TXN-0000156,2025-08-22,WH-002,Atlantic,SKU-1007,Energy Drink - Arctic Blast,Beverages,Outbound,-850,C006,SO-60181,8.75,7437.50
TXN-0000157,2025-08-22,WH-010,West,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,Outbound,-1490,C008,SO-58623,5.25,7822.50
TXN-0000158,2025-08-22,WH-006,Ontario,SKU-1014,Deodorant - Fresh Scent,Personal Care,Outbound,-1275,C003,SO-79397,10.25,13068.75
TXN-0000159,2025-08-22,WH-006,Ontario,SKU-1012,Shampoo - Moisturizing,Personal Care,Outbound,-670,C004,SO-24869,15.75,10552.50
TXN-0000160,2025-08-22,WH-001,Atlantic,SKU-1023,Fiber Supplement Powder,Health & Wellness,Inbound,2620,,PO-60723,16.75,43885.00
TXN-0000161,2025-08-22,WH-009,Quebec,SKU-1003,Chocolate Wafer Cookies,Snacks & Confectionery,Inbound,1566,,PO-68493,4.20,6577.20
TXN-0000162,2025-08-22,WH-004,Ontario,SKU-1019,Disinfecting Wipes,Household Cleaning,Inbound,2511,,PO-36237,11.25,28248.75
TXN-0000163,2025-08-22,WH-002,Atlantic,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Transfer,188,,TR-21506,6.80,1278.40
TXN-0000164,2025-08-22,WH-013,West,SKU-1021,Protein Bars - Chocolate,Health & Wellness,Adjustment,-10,,ADJ-97535,12.50,125.00
TXN-0000165,2025-08-22,WH-006,Ontario,SKU-1022,Probiotics Daily,Health & Wellness,Inbound,2720,,PO-48058,22.50,61200.00
TXN-0000166,2025-08-22,WH-005,Ontario,SKU-1005,Sparkling Water - Lemon,Beverages,Outbound,-1406,C003,SO-57381,5.50,7733.00
TXN-0000167,2025-08-22,WH-009,Quebec,SKU-1007,Energy Drink - Arctic Blast,Beverages,Inbound,1323,,PO-28202,8.75,11576.25
TXN-0000168,2025-08-22,WH-004,Ontario,SKU-1015,Multi-Surface Cleaner,Household Cleaning,Inbound,2769,,PO-85009,9.75,26997.75
TXN-0000169,2025-08-22,WH-006,Ontario,SKU-1014,Deodorant - Fresh Scent,Personal Care,Transfer,-218,,TR-18617,10.25,2234.50
TXN-0000170,2025-08-22,WH-005,Ontario,SKU-1012,Shampoo - Moisturizing,Personal Care,Adjustment,42,,ADJ-72739,15.75,661.50
TXN-0000171,2025-08-22,WH-009,Quebec,SKU-1013,Toothpaste - Whitening,Personal Care,Outbound,-1277,C002,SO-26426,6.50,8300.50
TXN-0000172,2025-08-22,WH-006,Ontario,SKU-1020,Vitamin C Gummies,Health & Wellness,Inbound,2408,,PO-99143,8.75,21070.00
TXN-0000173,2025-08-22,WH-009,Quebec,SKU-1011,Body Lotion - Unscented,Personal Care,Inbound,2758,,PO-93859,12.50,34475.00
TXN-0000174,2025-08-22,WH-010,West,SKU-1005,Sparkling Water - Lemon,Beverages,Outbound,-364,C007,SO-75911,5.50,2002.00
TXN-0000175,2025-08-22,WH-001,Atlantic,SKU-1003,Chocolate Wafer Cookies,Snacks & Confectionery,Outbound,-722,C003,SO-31229,4.20,3032.40
TXN-0000176,2025-08-22,WH-006,Ontario,SKU-1022,Probiotics Daily,Health & Wellness,Inbound,2625,,PO-47230,22.50,59062.50
TXN-0000177,2025-08-22,WH-002,Atlantic,SKU-1008,Coconut Water Organic,Beverages,Inbound,2756,,PO-45972,9.25,25493.00
TXN-0000178,2025-08-22,WH-003,Atlantic,SKU-1020,Vitamin C Gummies,Health & Wellness,Outbound,-1192,C002,SO-75873,8.75,10430.00
TXN-0000179,2025-08-22,WH-011,West,SKU-1005,Sparkling Water - Lemon,Beverages,Outbound,-1289,C003,SO-32439,5.50,7089.50
TXN-0000180,2025-08-22,WH-011,West,SKU-1019,Disinfecting Wipes,Household Cleaning,Outbound,-1339,,SO-83874,11.25,15063.75
TXN-0000181,2025-08-22,WH-001,Atlantic,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,Inbound,2862,,PO-44688,4.50,12879.00
